,appId,title,score,rating,review,comment,priceT,install,genre,developer,release
0,africa.bundle.mobile.app,"Bundle Africa - Send/Get Cash, Buy & Sell Bitcoin",4.5,9134.0,5682.0,"['I can recommend this app to millions of people. The app is so easy to operate. The security aspects is wow. The customer service is always at alert and ready to assist. You guys are wonderful.', ""the app is very good and adding cash is easy. just that it doesn't use graph to show the trend of cryptocurrencies. this is very important to determine when to trade. if you add that feature to make it 5 stars. I have to use another app just for checking the trend.also if are a cashlink agent could it be made possible to make deposits and withdrawals through yourself?"", 'I just downloaded the app and the registration was seamless. I hope to get the best out of the app though am new to crypto but i believe this app will provide all that i needed. I have gone through all the reviews here and majority of the review is commendable and reliable. I hope the deposit and withdrawal aspect will be superb. The interface is cool and nice compared to other app. I cant wait to benefit immensely from the bundle application. I will still come back and do another review', 'This app is super cool and I love your platform though I have small issue with you people. the minimum coin tradable is not encouraging, sometimes you have a small amount you just want to buy few coins instead of spending it, but you people stated a particular amount that one must have to sell or buy. it is seriously discouraging.', 'Carrying transactions on the app is superfast, including the payout to your local bank account. Crypto transactions are seamless. The UI is super definative and thus easy to navigate. The email and in app notifications provides that extra layer of certainty when carrying out transactions in-app. A general great User Experience.']",Free,100000,FINANCE,Bundle Africa,"Apr 20, 2020"
1,africa.buycoins.buycoinsx.basic,Buycoins - The easiest way to buy & sell crypto,4.0,85.0,59.0,"[""It was easy to download after knowing about the new app. I like it, but it's taking alot of time to link my account, I don't know if it's network problems or from the app. All the same, all thanks to the guys in the ( Get Help Section) for sending the link to me."", 'This app would get 5 stars if I could access all my wallets even if they are empty. But as soon as a wallet is at 0 it is automatically removed from the account page u can only see your transaction history of u click withdraw then go back THEN hit view all transactions which is really inconvenient', ""Is very good...but is wrong.. withdrawaling take time and days.. please guys should look for another way of matching this withdraw.. for over two days i been waiting to receive my money..i don't even know if I'm going to receive it before the end of month 😡this is very wrong"", ""What's wrong? App keep telling me to download the new app. I clicked the link and it indicated installed, but when I opened the app again, it is still asking me to download new app. Right now, I can't even use the app. Most of the features have been disabled. What now?"", ""Let's go back to the old app, this new app is annoying, nothing is working, no p2p, can't deposit, can't withdraw, can't buy and sell coin. Why bring an update that is not not working?""]",Free,5000,FINANCE,Bitkoin Africa Inc,"Apr 16, 2021"
2,app.bitcoin.wallet,Bitcoin Wallet,5.0,17.0,3.0,"['It is very good, nothing to complain about thats very Awesome.']",$2.99,100,FINANCE,FLARFLY,"Apr 10, 2021"
3,app.goodcrypto,Good Crypto: manage all exchanges with one app,4.5,684.0,285.0,"['The developer is constantly working to make the app better. Even as is the features are profoundly better then most exchanges. Seeing all your funds in one place is a huge help. Join the telegram if you need to ask any questions Or if you would like to opt for new features. Not seen anyone work so hard on an app before and actually listen to the customers. ***Would like to see multi coin wallets introduced at some point and im sure they will be. 5***** all the way KEEP IT UP!!!', 'May 26, 2021 Loads fast now. Wows you did optimize it. Thank you - - _____ May 13, 2021 My internet WAS to slow to load it. 128 Kbps. App might need better optimization.', 'Best app so far,I hope the can build web version as well, I wish they can add binance smart chain wallet to see balance and more exchanges, like bitmax, monitoring wallet option would be game changer. Good luck Balveer', 'In New version reverse order is not automatically fill the amount', 'Looks promising. Please add 15 min and 1month time frames to TradingView charts. Will update review as I evaluate the app.']",Free,100000,FINANCE,GoodCrypto.App,"May 20, 2019"
4,app.hodlify,Hodlify - cryptocurrency portfolio,4.0,21.0,11.0,['Pretty good start. I am hoping that they will add support for binance smart chain BSC'],Free,1000,FINANCE,Nikita Zhelonkin,"Sep 5, 2018"
5,app.odapplications.bitstashwallet,BitStash Wallet - Multi Cryptocurrency Wallet,0.0,0.0,0.0,['Amazing Project.'],Free,100,FINANCE,ODApplications,"Nov 10, 2019"
6,appinventor.ai_mlmsolution88.Troquer,eTroquer Crypto Exchange,0.0,0.0,0.0,[],Free,50,FINANCE,Netallianz Ltd.,"Jun 25, 2020"
7,appinventor.ai_Traid777.WALLETBTC,Bitcoin wallet - Qantum,0.0,0.0,0.0,[],Free,5,FINANCE,NemeZ,"Jun 16, 2021"
8,bitcoin.twenty.twenty,BITCOIN 2020 - New Improved Crypto - Wallet App,0.0,0.0,0.0,['Gteat app ...good job done by developers ...user friendly and secure.'],Free,100,BUSINESS,NetBusinessForum,"Jun 24, 2019"
9,ca.merkley.starter,Merkley - DApp store. Crypto Wallet,0.0,0.0,0.0,[],Free,100,FINANCE,Merkley,"Nov 19, 2018"
10,cash.usdx.wallet,USDX Wallet - blockchain wallet with stable crypto,4.1,5473.0,4680.0,"['Already scam guys, after last update always fail to connect. The project fail so the dev. give up. If i am wrong , fix it and proof it still working.', ""Doesn't work, says it can't connect. I've uninstalled and reinstalled, allowed all permissions and still nothing. By the way, developers, if you're gonna put fake reviews on your product, at least make them less obviously fake. The five star ratings that are written for this app are faker than a three-dollar bill."", ""Cant connect to network.. seem to be the case for many people. Just fix it for crying out loud. And dont ask me to ''contact support''. Just Fix It"", ""Won't let us log in to our account. App is completely useless now. We couldn't touch the funds we have to our account. Fix it."", 'Not just a regular Crypto wallet. First thing first SECURITY : A+, undoubtly holds a higher level of security so worry less. Faster transactions and that too with NO FEES. Wow! Couldnt be better. UI is as user friendly as it could have been with added live charts for the specific assets. Lastly the money back guarantee, great! Who else can offer that? Totally satisfied.']",Free,10000,FINANCE,Lighthouse GmbH,"Mar 22, 2018"
