,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
1,africa.buycoins.buycoinsx.basic, https://buycoins.africa/privacy,True,en, text fine
2,app.bitcoin.wallet, https://vpn.flarfly.com/privacy.html,True,en, text fine
11,co.bitx.android.wallet, https://www.luno.com/legal/privacy,True,en, text fine
12,co.hodlwallet, https://hodlwallet.com/privacy-policy,True,en, text fine
14,com.adb.adbcoin, https://www.adbmining.com/,True,en, text fine
16,com.app.asbazar59, https://asbazar.com/en/privacy,True,en, text fine
17,com.app.belfrics, http://belfrics.com/policy/,True,en, text fine
29,com.bitpay.wallet, https://bitpay.com/about/wallet-privacy,True,en, text fine
32,com.bityard.us2, https://support.bityard.com/hc/en-us/articles/360039677471,True,en, text fine
39,com.btuprotocol.btu_wallet, https://btu-direct.com/legal/btu-direct-privacypolicy.html,True,en, text fine
48,com.coindeal, https://coindeal.com/legal/privacy-policy,True,en, text fine
50,com.coinmarket.android, https://en.coinjinja.com/page/terms,True,en, text fine
51,com.coinmotion, https://coinmotion.com/privacy-policy/,True,en, text fine
52,com.coinpaprika.coins, https://coinpaprika.com/privacy-policy/,True,en, text fine
53,com.coinpay, https://coinpay-assets.s3-us-west-2.amazonaws.com/privacy-policy.html,True,en, text fine
55,com.CoinsBank.CoinsBank, https://coinsbank.com/terms,True,en, text fine
56,com.coinspot.app, https://www.coinspot.com.au/privacy,True,en, text fine
57,com.colodax.colodax, https://colodax.freshdesk.com/support/solutions/articles/47000200196-privacy-policy,True,en, text fine
58,com.coolbitx.cwsapp, http://coolwallet.io,True,en, text fine
59,com.crypter.cryptocyrrency, https://thecrypto.app/privacy-policy,True,en, text fine
71,com.evercoin, https://file.evercoin.com/privacy.html,True,en, text fine
72,com.evraon.trading, https://evraon.com/en/privacy,True,en, text fine
73,com.exmo, https://exmo.com/en/docs/privacy_policy,True,en, text fine
75,com.flashift.flashift, https://flashift.app/terms,True,en, text fine
81,com.gemini.android.app, https://gemini.com/privacy-policy/,True,en, text fine
82,com.giottus.giottus_mobile, https://www.giottus.com/docs/privacypolicy.html,True,en, text fine
83,com.holacoins.wallet, https://www.holacoins.club/privacy,True,en, text fine
85,com.instantcoins, https://instantcoins.ng/home/privacy-policy,True,en, text fine
90,com.koinstrap.koinstrap, https://koinstrap.com/policy,True,en, text fine
98,com.newgo.coincola, https://www.coincola.com/policy.html,True,en, text fine
99,com.nexowallet, https://nexo.io/privacy-policy,True,en, text fine
101,com.node.coindirect, https://www.coindirect.com/privacy,True,en, text fine
106,com.payplux, https://www.payplux.com/privacy.html,True,en, text fine
107,com.payscript, https://payscript.io/privacy-policy/,True,en, text fine
