app_name,class_dex,types,matches
africa.bundle.mobile.app.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'network operator name check', 'ro.kernel.qemu check']"
africa.bundle.mobile.app.apk,classes.dex,compiler,['r8 without marker (suspicious)']
africa.bundle.mobile.app.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
africa.bundle.mobile.app.apk,classes2.dex,anti_vm,"['Build.MODEL check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
africa.bundle.mobile.app.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
africa.bundle.mobile.app.apk,classes3.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible VM check']"
africa.bundle.mobile.app.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
africa.buycoins.buycoinsx.basic.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check', 'possible VM check']"
africa.buycoins.buycoinsx.basic.apk,classes.dex,compiler,['r8']
africa.buycoins.buycoinsx.basic.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
app.bitcoin.wallet.apk,error,error,error
app.goodcrypto.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
app.goodcrypto.apk,classes.dex,compiler,['r8']
app.goodcrypto.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
app.goodcrypto.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'Build.TAGS check', 'possible VM check']"
app.goodcrypto.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
app.goodcrypto.apk,classes3.dex,anti_debug,['Debug.isDebuggerConnected() check']
app.goodcrypto.apk,classes3.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check']"
app.goodcrypto.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
app.hodlify.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check']"
app.hodlify.apk,classes.dex,compiler,['r8 without marker (suspicious)']
app.hodlify.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
app.odapplications.bitstashwallet.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
app.odapplications.bitstashwallet.apk,classes.dex,compiler,['r8']
app.odapplications.bitstashwallet.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check']"
app.odapplications.bitstashwallet.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
app.odapplications.bitstashwallet.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
appinventor.ai_mlmsolution88.Troquer.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.PRODUCT check', 'possible VM check']"
appinventor.ai_mlmsolution88.Troquer.apk,classes.dex,compiler,['dx (possible dexmerge)']
appinventor.ai_mlmsolution88.Troquer.apk,classes.dex,manipulator,['dexmerge']
appinventor.ai_Traid777.WALLETBTC.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.PRODUCT check', 'possible VM check']"
appinventor.ai_Traid777.WALLETBTC.apk,classes.dex,compiler,['dx']
appinventor.ai_Traid777.WALLETBTC.apk,classes.dex,obfuscator,"['unreadable field names', 'unreadable method names']"
appinventor.ai_Traid777.WALLETBTC.apk,classes2.dex,compiler,['dx']
bitcoin.twenty.twenty.apk,classes.dex,compiler,['r8 without marker (suspicious)']
bitcoin.twenty.twenty.apk,classes2.dex,anti_vm,"['Build.TAGS check', 'possible ro.secure check']"
bitcoin.twenty.twenty.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
ca.merkley.starter.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
ca.merkley.starter.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check']"
ca.merkley.starter.apk,classes.dex,compiler,['dx (possible dexmerge)']
ca.merkley.starter.apk,classes.dex,manipulator,['dexmerge']
cash.usdx.wallet.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'possible Build.SERIAL check']"
cash.usdx.wallet.apk,classes.dex,compiler,['r8']
cash.usdx.wallet.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
cash.usdx.wallet.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'network operator name check', 'possible VM check']"
cash.usdx.wallet.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
cash.usdx.wallet.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
co.bitx.android.wallet.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
co.bitx.android.wallet.apk,classes.dex,compiler,['r8']
co.bitx.android.wallet.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
co.bitx.android.wallet.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
co.bitx.android.wallet.apk,classes3.dex,anti_debug,['Debug.isDebuggerConnected() check']
co.bitx.android.wallet.apk,classes3.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'device ID check']"
co.bitx.android.wallet.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
co.bitx.android.wallet.apk,classes4.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'network operator name check', 'possible ro.secure check']"
co.bitx.android.wallet.apk,classes4.dex,compiler,['r8 without marker (suspicious)']
co.hodlwallet.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
co.hodlwallet.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible VM check']"
co.hodlwallet.apk,classes.dex,compiler,['r8']
co.hodlwallet.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
co.id.dompet.btc.indonesia.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
co.id.dompet.btc.indonesia.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check']"
co.id.dompet.btc.indonesia.apk,classes.dex,compiler,['r8']
com.adb.adbcoin.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.TAGS check']"
com.adb.adbcoin.apk,classes.dex,compiler,['r8']
com.adb.adbcoin.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.anxbtc.android.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.PRODUCT check']"
com.anxbtc.android.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.anxbtc.android.apk,classes.dex,manipulator,['dexmerge']
com.app.asbazar59.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check']"
com.app.asbazar59.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.app.asbazar59.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.DEVICE check']"
com.app.asbazar59.apk,classes.dex,compiler,['r8']
com.app.belfrics.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible VM check']"
com.app.belfrics.apk,classes.dex,compiler,['r8']
com.app.belfrics.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.app.belfrics.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'network operator name check', 'possible VM check']"
com.app.belfrics.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.application.bitcoiva.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.application.bitcoiva.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check']"
com.application.bitcoiva.apk,classes.dex,compiler,['r8']
com.application.blocdesk.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.application.blocdesk.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check']"
com.application.blocdesk.apk,classes.dex,compiler,['r8']
com.apptrack.coinom.apk,classes3.dex,compiler,['dexlib 2.x']
com.apptrack.coinom.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.apptrack.coinom.apk,classes2.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible ro.secure check', 'possible VM check']"
com.apptrack.coinom.apk,classes2.dex,compiler,['dexlib 2.x']
com.apptrack.coinom.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible Build.SERIAL check', 'Build.TAGS check', 'SIM operator check']"
com.apptrack.coinom.apk,classes.dex,compiler,['dexlib 2.x']
com.apptrack.coinom.apk,classes4.dex,compiler,['dexlib 2.x']
com.atomicwallet.newapp.safe.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.atomicwallet.newapp.safe.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.PRODUCT check', 'possible Build.SERIAL check']"
com.atomicwallet.newapp.safe.apk,classes.dex,compiler,['r8']
com.bcoiner.webviewapp.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
com.bcoiner.webviewapp.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.bcoiner.webviewapp.apk,classes.dex,manipulator,['dexmerge']
com.bitbns.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check', 'ro.kernel.qemu check', 'possible VM check']"
com.bitbns.apk,classes.dex,compiler,['r8']
com.bitbns.apk,classes.dex,obfuscator,"['unreadable field names', 'unreadable method names']"
com.bitbns.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check']"
